"";"marca";"submarca";"vr";"mod";"trans";"comb";"cil";"pot";"tam";"cat";"r.Ciudad";"r.Carretera";"r.Comb";"r.Ajust";"CO2";"NOx";"GEI";"CA"
"2462";"MINI";"COOPER S";"PACEMAN JCW 3PTS 1.6L 4CIL 218HP AUT TURBO";"2016";"Auto";"Gasolina";"4";218;1,6;"AUTOS DEPORTIVOS";10,64;16,13;13,95;10,46;223;16;"6";"8"
"2463";"MINI";"COOPER S";"PACEMAN JCW 3PTS 1.6L 4CIL 218HP MAN TURBO";"2016";"Manual";"Gasolina";"4";218;1,6;"AUTOS DEPORTIVOS";10,64;16,13;13,95;10,46;223;16;"6";"9"
"2464";"MINI";"COOPER S";"3PTAS 1.6L 4CIL 218HP TURBO AUT";"2017";"Auto";"Gasolina";"4";218;1,6;"AUTOS DEPORTIVOS";10,64;16,1;13,94;10,46;223;16;"6";"8"
"2465";"MINI";"COOPER S";"JOHN COOPER WORKS COUPÉ 3PTS 1.6L 4CIL 211HP MAN";"2012";"Manual";"Gasolina";"4";211;1,6;"AUTOS DEPORTIVOS";10,63;17,24;14,24;10,68;218;11;"6";"9"
"2466";"MINI";"JOHN COOPER WORKS";"3PTS 1.6L 4CIL 211HP MAN";"2013";"Manual";"Gasolina";"4";211;1,6;"AUTOS DEPORTIVOS";10,63;17,24;14,24;10,68;218;11;"6";"9"
"2467";"MINI";"COOPER S";"COUNTRYMAN JOHN COOPER WORKS 5PTS 1.6L 4CIL 218HP MAN";"2013";"Manual";"Gasolina";"4";218;1,6;"AUTOS DEPORTIVOS";10,63;16,12;13,94;10,46;223;30;"6";NA
"2468";"MINI";"COOPER S";"COUPE JOHN COOPER WORKS 2PTS 1.6L 4CIL 211HP MAN TURBO";"2013";"Manual";"Gasolina";"4";211;1,6;"AUTOS DEPORTIVOS";10,63;17,24;14,24;10,68;218;11;"6";"9"
"2469";"CHEVROLET";"CAMARO";"LS 2PTAS 2L 4CIL 272HP MAN";"2018";"Manual";"Gasolina";"4";272;2;"AUTOS DEPORTIVOS";10,63;18,24;13,08;9,81;238;5;"6";"9"
"2470";"MINI";"COOPER S";"3PTAS 1.6L 4CIL 218HP TURBO MAN";"2017";"Manual";"Gasolina";"4";218;1,6;"AUTOS DEPORTIVOS";10,6;16,1;13,91;10,43;223;16;"6";"9"
"2471";"PORSCHE";"BOXSTER";"S 2PTS 3.4L 6CIL 310HP MAN";"2011";"Manual";"Gasolina";"6";310;3,4;"AUTOS DEPORTIVOS";10,59;12,82;11,49;8,62;271;16;"4";"8"
"2472";"PORSCHE";"BOXSTER";"SPYDER 2PTS 3.4L 6CIL 320HP MAN";"2011";"Manual";"Gasolina";"6";320;3,4;"AUTOS DEPORTIVOS";10,59;12,82;11,49;8,62;271;16;"4";"8"
"2473";"PORSCHE";"BOXSTER";"S 2PTS 3.4L 6CIL 310HP PDK";"2011";"Dbl.Embrague";"Gasolina";"6";310;3,4;"AUTOS DEPORTIVOS";10,59;12,66;11,43;8,57;272;16;"4";"8"
"2474";"PORSCHE";"BOXSTER";"SPYDER 2PTS 3.4L 6CIL 320HP PDK";"2011";"Dbl.Embrague";"Gasolina";"6";320;3,4;"AUTOS DEPORTIVOS";10,59;12,66;11,43;8,57;272;16;"4";"8"
"2475";"PORSCHE";"BOXSTER";"S 2PTS 3.4L 6CIL 310HP MAN";"2012";"Manual";"Gasolina";"6";310;3,4;"AUTOS DEPORTIVOS";10,59;12,82;11,49;8,62;271;16;"4";"8"
"2476";"PORSCHE";"BOXSTER";"S 2PTS 3.4L 6CIL 310HP PDK";"2012";"Dbl.Embrague";"Gasolina";"6";310;3,4;"AUTOS DEPORTIVOS";10,59;12,66;11,43;8,57;272;16;"4";"8"
"2477";"PORSCHE";"BOXSTER";"SPYDER 2PTS 3.4L 6CIL 320HP MAN";"2012";"Manual";"Gasolina";"6";320;3,4;"AUTOS DEPORTIVOS";10,59;12,82;11,49;8,62;271;16;"4";"8"
"2478";"PORSCHE";"BOXSTER";"SPYDER 2PTS 3.4L 6CIL 320HP PDK";"2012";"Dbl.Embrague";"Gasolina";"6";320;3,4;"AUTOS DEPORTIVOS";10,59;12,66;11,43;8,57;272;16;"4";"8"
"2479";"VW";"GOLF";"GTI 35 3PTS 2.0L 4CIL 235HP MAN FSI TURBO";"2013";"Manual";"Gasolina";"4";235;2;"AUTOS DEPORTIVOS";10,59;18,84;13,19;9,89;236;11;"6";"9"
"2480";"MINI";"COOPER S";"COUNTRYMAN 5PTS 1.6L 4CIL 184HP AUT TURBO";"2011";"Auto";"Gasolina";"4";184;1,6;"AUTOS DEPORTIVOS";10,53;17,54;14,23;10,67;219;22;"6";NA
"2481";"MINI";"COOPER S";"COUNTRYMAN 5PTS 1.6L 4CIL 184HP AUT TURBO";"2013";"Auto";"Gasolina";"4";184;1,6;"AUTOS DEPORTIVOS";10,53;17,54;14,23;10,67;219;22;"6";NA
"2482";"MINI";"COOPER S";"CABRIO 2PTS 1.6L 4CIL 184HP AUT TURBO";"2011";"Auto";"Gasolina";"4";184;1,6;"AUTOS DEPORTIVOS";10,52;18,86;14,52;10,89;214;17;"6";NA
"2483";"MINI";"COOPER S";"COUNTRYMAN 5PTS 1.6L 4CIL 184HP AUT TURBO";"2012";"Auto";"Gasolina";"4";184;1,6;"AUTOS DEPORTIVOS";10,52;17,54;14,22;10,66;219;22;"6";NA
"2484";"MINI";"JOHN COOPER WORKS";"GP 3PTS 1.6L 4CIL 218HP MAN TURBO";"2013";"Manual";"Gasolina";"4";218;1,6;"AUTOS DEPORTIVOS";10,52;17,54;14,22;10,66;219;15;"6";NA
"2485";"MINI";"COOPER S";"PACEMAN 3PTS 1.6L 4CIL 184HP AUT TURBO";"2013";"Auto";"Gasolina";"4";184;1,6;"AUTOS DEPORTIVOS";10,52;17,54;14,22;10,66;219;22;"6";NA
"2486";"CHEVROLET";"CAMARO";"RS-V6 COUPE 2PTAS 3.6L 6CIL 335HP AUT";"2017";"Auto";"Gasolina";"6";335;3,6;"AUTOS DEPORTIVOS";10,5;16,71;12,61;9,46;247;9;"5";"9"
"2487";"FORD";"MUSTANG";"COUPE 2PTS 3.7L 6CIL 305HP AUT";"2016";"Auto";"Gasolina";"6";305;3,7;"AUTOS DEPORTIVOS";10,43;18,49;14,37;10,77;216;18;"6";"8"
"2488";"FORD";"MUSTANG";"2PTS 3.7L 6CIL 305HP AUT";"2014";"Auto";"Gasolina";"6";305;3,7;"AUTOS DEPORTIVOS";10,41;18,48;12,96;9,72;240;7;"5";"9"
"2489";"MINI";"JOHN COOPER WORKS";"CONVERTIBLE 3PTS 1.6L 4CIL 211HP MAN";"2013";"Manual";"Gasolina";"4";211;1,6;"AUTOS DEPORTIVOS";10,41;16,94;13,98;10,49;222;11;"6";"9"
"2490";"MINI";"COOPER S";"ROADSTER JOHN COOPER WORKS 2PTS 1.6L 4CIL 211HP MAN TURBO";"2013";"Manual";"Gasolina";"4";211;1,6;"AUTOS DEPORTIVOS";10,41;16,94;13,98;10,49;222;11;"6";"9"
"2491";"MINI";"COOPER S";"JOHN COOPER WORKS CABRIO 2PTS 1.6L 4CIL 211HP AUT TURBO";"2012";"Auto";"Gasolina";"4";211;1,6;"AUTOS DEPORTIVOS";10,41;16,94;13,98;10,49;222;11;"6";"9"
"2492";"MINI";"COOPER S";"ROADSTER JOHN COOPER WORKS 2PTS 1.6L 4CIL 211HP MAN TURBO";"2012";"Manual";"Gasolina";"4";211;1,6;"AUTOS DEPORTIVOS";10,41;18,94;14,45;10,83;215;11;"6";"9"
"2493";"PORSCHE";"911";"CARRERA S COUPE 2PTS 3.8L 6CIL 400HP PDK";"2015";"Dbl.Embrague";"Gasolina";"6";400;3,8;"AUTOS DEPORTIVOS";10,3;15,7;12,19;9,14;255;10;"5";"9"
"2494";"PORSCHE";"911";"CARRERA 4S COUPE 2PTS 3.8L 6CIL 400HP PDK TRACCIÓN INTEGRAL";"2015";"Dbl.Embrague";"Gasolina";"6";400;3,8;"AUTOS DEPORTIVOS";10,3;15,7;12,19;9,14;255;10;"5";"9"
"2495";"PORSCHE";"911";"TARGA 4S 2PTS 3.8L 6CIL 400HP PDK TRACCIÓN INTEGRAL";"2015";"Dbl.Embrague";"Gasolina";"6";400;3,8;"AUTOS DEPORTIVOS";10,3;15,7;12,19;9,14;255;9;"5";"9"
"2496";"PORSCHE";"911";"CARRERA 2S CABRIOLET 2PTAS 3.8L 6CIL 400HP PDK";"2017";"Dbl.Embrague";"Gasolina";"6";400;3,8;"AUTOS DEPORTIVOS";10,3;15,7;12,19;9,14;255;10;"5";"9"
"2497";"PORSCHE";"911";"CARRERA 4S 2PTAS 3.8L 6 CIL 400HP PDK INTEGRAL";"2017";"Dbl.Embrague";"Gasolina";"6";400;3,8;"AUTOS DEPORTIVOS";10,3;15,7;12,19;9,14;255;10;"5";"9"
"2498";"PORSCHE";"911";"TARGA 4S 2PTAS 3.8L 6CIL 400HP PDK INTEGRAL";"2017";"Dbl.Embrague";"Gasolina";"6";400;3,8;"AUTOS DEPORTIVOS";10,3;15,7;12,19;9,14;255;9;"5";"9"
"2499";"PORSCHE";"911";"CARRERA 2S 2PTS 3.8L 6CIL 400HP PDK";"2016";"Dbl.Embrague";"Gasolina";"6";400;3,8;"AUTOS DEPORTIVOS";10,3;15,6;12,16;9,12;256;10;"5";"9"
"2500";"PORSCHE";"911";"CARRERA 4S 2PTS 3.8L 6CIL 400HP PDK INTEGRAL";"2016";"Dbl.Embrague";"Gasolina";"6";400;3,8;"AUTOS DEPORTIVOS";10,3;15,6;12,16;9,12;256;10;"5";"9"
"2501";"CHEVROLET";"CAMARO";"LT 2PTAS 3.6L 6CIL 335HP AUT";"2018";"Auto";"Gasolina";"6";335;3,6;"AUTOS DEPORTIVOS";10,29;17,22;12,56;9,42;247;8;"5";"9"
"2502";"CHEVROLET";"CAMARO";"RS SE 2PTAS 3.6L 6CIL 335HP AUT";"2018";"Auto";"Gasolina";"6";335;3,6;"AUTOS DEPORTIVOS";10,29;17,22;12,56;9,42;247;8;"5";"9"
